"id","condition","AvgVelcoity","MaxAccel","RangeY"
"P10","A",1.72569541003064,462.224274896846,0.058734937536227
"P10","B",0.397011602860611,63.0635332351457,0.0401995696287112
"P10","C",0.554260270596792,62.8153851480271,0.0586607467084072
"P10","D",0.714325895361449,59.0929985912716,0.176214019712529
"P10","E",1.57900402137938,127.025890596898,0.623405998861981
"P10","F",1.05935184972164,125.458769350444,0.155602701907273
"P10","G",0.490270597808423,65.5742511014207,0.0954842035716203
"P10","H",1.01809676475803,63.5574805476171,0.0394847758138668
"P11","A",1.14236843299754,64.5751243208225,0.102679332940336
"P11","B",0.548451646439463,62.3188920495366,0.0440576910307144
"P11","C",0.735507436075911,62.913459334267,0.0526045823961482
"P11","D",1.60918973071545,99.8832429991209,0.204887625428397
"P11","E",0.370562454823804,60.7326014651325,0.0541212212385145
"P11","F",0.376631960244896,64.0572933481016,0.0438810015538985
"P11","G",0.715496316403672,64.0899450029777,0.027298197640638
"P11","H",1.50753528487619,487.885371739313,0.114033017393516
"P12","A",2.51498784396926,482.851625988822,0.211743535801782
"P12","B",1.2069379420124,84.4667433240074,0.218909336076278
"P12","C",1.73584386617866,118.076022559373,0.304476955252405
"P12","D",1.65408710348199,123.216626431109,0.954607635639001
"P12","E",3.13983380448541,515.069594611569,0.597434746961203
"P12","F",0.763306630342068,111.555039790449,0.492415181703815
"P12","G",1.15921708336776,64.8696693455812,0.37951488729856
"P12","H",1.6557017344781,66.7033342199337,0.489182433944702
"P13","A",3.17355382575512,479.549952770729,0.0780592948957164
"P13","B",1.00696753778652,105.007640755978,0.0595069801163759
"P13","C",4.30529046896332,476.44486106343,0.0509381635708463
"P13","D",3.15306683258752,499.542504065847,0.1690112775775
"P13","E",2.40982467501032,513.763283394834,0.0399635226584733
"P13","F",2.26094051334196,487.642053046875,0.0543178250324044
"P13","G",2.43602965343838,65.7689646621101,0.047364669010415
"P13","H",2.09126472495352,99.6783874988056,0.0577489432154733
"P14","A",1.66856702126937,502.447677707042,0.117639652167034
"P14","B",0.113996128645626,63.2704119118093,0.0372770241730289
"P14","C",0.451829861264744,64.4470458424619,0.0618289391105817
"P14","D",0.740966425063022,65.3603144814108,0.19404894767762
"P14","E",2.7376261175176,507.407980055654,0.235044035407358
"P14","F",0.469534439593386,59.3624131418774,0.0728695385478971
"P14","G",0.457781428482237,64.0029734911598,0.13925952196832
"P14","H",2.96021761621062,484.319116680565,0.0981413729962006
"P15","A",4.5432654600715,451.267521450212,0.0296894502922991
"P15","B",3.33026166195458,499.157712126262,0.0477278123198397
"P15","C",0.669326897704099,64.9853162415745,0.0497599488566257
"P15","D",3.81893046716494,696.888256519098,0.0544993361825835
"P15","E",2.52180844962803,752.686866561263,0.192877991151446
"P15","F",1.08032572790029,60.7740666055927,0.0270368080078985
"P15","G",2.60979141817559,519.906945009577,0.0244020783222984
"P16","A",0.920209339946069,65.6125180864474,0.0171737910643577
"P16","B",0.82710319914566,63.9391002915276,0.0549217671049704
"P16","C",2.70317192950678,498.896410976304,0.0895372145768862
"P16","D",0.239925497617936,62.3935833781888,0.105782253691132
"P16","E",1.48010976513034,59.8531480784464,0.57190101538018
"P16","F",0.722818575650799,59.8592131808549,0.0182675100651356
"P16","G",0.237010098422293,7.05434024542159,0.0269578130799738
"P16","H",1.05301298536763,57.9203644952533,0.052612701828565
"P17","A",0.280254117212252,61.7422974295009,0.0584880192067367
"P17","B",0.211470202375826,57.8440364641275,0.105536168840184
"P17","C",0.389824707745436,62.9317291831147,0.0555702222673019
"P17","D",0.136973653069017,5.08235875666746,0.0406754438630931
"P17","E",0.66200094376261,59.8268115275668,0.416171871565147
"P17","F",0.501277699314667,63.6982796016566,0.0188458966953609
"P17","G",0.19070668276246,5.51474228651842,0.0687134287238752
"P17","H",0.466553668552213,60.5210171794993,0.267440672527928
"P18","A",0.386823751978134,53.0434926913508,0.067760813429696
"P18","B",0.228417700150527,61.5465813432739,0.0459353771622822
"P18","C",0.307381860111609,7.3176442755828,0.055504302898701
"P18","D",1.17882433580375,125.737476671046,0.616769332337585
"P18","E",1.30313376036059,432.358059808776,0.235822119768488
"P18","F",0.270680379873347,59.6449474138832,0.0459013439184544
"P18","G",0.188681146207088,59.9536533397475,0.0543496444512712
"P18","H",1.21062769439531,62.0772060233921,0.0712430801440199
"P19","A",0.493111161119511,4.12861592963085,0.0488990025650148
"P19","B",0.031288766999818,3.70273327065779,0.0505308741566866
"P19","C",1.18219274316905,61.943101820255,0.0475263448156969
"P19","D",2.57909265868167,504.940221114887,0.104323295518303
"P19","E",0.711224576975919,59.079468594445,0.422249886569575
"P19","F",0.958610738947295,97.711765222932,0.0296307335212235
"P19","G",0.10894885488491,60.8621054868955,0.0407932034872949
"P19","H",3.51987740858893,462.279492918925,0.0353888096481227
"P20","A",2.72554476662627,115.325998931025,0.0586149098400546
"P20","B",1.10493913992533,229.570690654601,0.0414015427447095
"P20","C",2.24323299612566,473.605863143612,0.0395267186078305
"P20","D",1.91491522684213,461.700979610306,0.0721279330401047
"P20","E",1.68904473276521,87.1622194828751,0.500963079982609
"P20","F",1.31279797958971,61.5457023850319,0.0730779315183937
"P20","G",0.634200639286843,63.8397421475068,0.027147883450244
"P20","H",1.81761125570564,441.13431866088,0.0550564768611718
"P21","D",0.345205410225205,72.6205139093865,0.0983997502102273
"P21","E",0.250292270127451,63.6483420552581,0.0634953039631314
"P21","F",0.0734324114307874,56.7189141870521,0.057762105458845
"P21","H",0.120185438097575,57.7923277267646,0.0505652803979732
